link,image_old,image,title,subjects,featured,type,status,ignore
https://exhibits.lib.iastate.edu/library-herbarium-2019-4hworkshop,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/20194-HYouth.png?itok=1fpFMLkH,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/20194-HYouth.png,2019 4-H Youth Conference,Agriculture;Youth,,workshop,complete,
http://historicexhibits.lib.iastate.edu/20thWomen/revisedSept2005/20thcenturywomen.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/20thCWomen.png?itok=H9NuFUZ4,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/20thCWomen.png,Twentieth Century Women of Iowa State,Iowa State History;Women's History,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/Cy/index.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/50YearsCy.png?itok=doGOC-Wm,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/50YearsCy.png,"Fifty Years of Cy, Our Iowa State Mascot",Iowa State History;Sports,,exhibit,legacy,
http://exhibits.lib.iastate.edu/ada-hayden,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/AdaHayden.png?itok=NsasA3YU,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/AdaHayden.png,Ada Hayden's Student Years at Iowa State,Horticulture,,exhibit,complete,
https://exhibits.lib.iastate.edu/activist-agriculture,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/AgActivist2.png?itok=8c1sxxnT,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/AgActivist2.png,"Activist Agriculture: Farm protest in Iowa, 1929 - 1969",Agriculture,,exhibit,complete,
https://storymaps.arcgis.com/stories/54d860a8a2284111a379f0a0c893fffc,assets/img/art-map.JPG,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/art-map.JPG,ISU Art on Campus Map,Art;GIS;Iowa State,true,digital scholarship,complete,
https://web.archive.org/web/20201124033508/http://digitalcollections.lib.iastate.edu/john-vincent-atanasoff,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Atanasoff.png?itok=iPowTGYu,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Atanasoff.png,John Vincent Atanasoff,,,digital collection,legacy,
https://avian.lib.iastate.edu,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/avIAn.png?itok=gYQPOi-P,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/avIAn.png,Avian Archives of Iowa Online (avIAn),Ornithology;Citizen Science,,collections as data,complete,
http://historicexhibits.lib.iastate.edu/Harker/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Barns.png?itok=CDaBqp51,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Barns.png,"Michael Harker, Photographer: Barns of Iowa",Iowa,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/campanile/campanile.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Campanile.png?itok=NeCbD9hA,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Campanile.png,Centennial Celebration of the ISU Campanile,Iowa State History,,exhibit,legacy,
