name,date,date-iso,time,location,description,link,image,image_alt,past,type
DH 101: What is Digital Humanities?,"Wednesday, September 11, 2024",2024-09-11,2:00pm-3:00pm,The Catalyst (Parks 199),"This workshop introduces participants to the common approaches, methodologies, and tools in the field of digital humanities as well as opportunities and resources for further development of DH skills.",https://iastate.libcal.com/event/12850566,,,true,workshop
ArcGIS Online Essentials: Intro to Map Viewer,"Tuesday, September 24, 2024",2024-09-24,2:10pm-3:25pm,The Catalyst (Parks 199),"Participants in this workshops will get an introduction to ArcGIS Map Viewer and the basic concepts, data sources, and tools for mapping and spatial analysis. Participants will get hands-on experience and create a map using ArcGIS Online.",https://iastate.libcal.com/event/12885596,,,true,workshop
ArcGIS Online Essentials: StoryMaps,"Tuesday, October 1, 2024",2024-10-01,2:10pm-3:25pm,The Catalyst (Parks 199),"Join our interactive workshop on ArcGIS StoryMaps. Learn to weave maps, data, and other media into a compelling narrative. This session will guide participants through the process of creating and sharing StoryMaps. Perfect for instructors, researchers, and anyone with a story to tell. No prior GIS experience required, but attendance at the Introduction to ArcGIS Online workshop is encouraged.",https://iastate.libcal.com/event/12889504,,,true,workshop
ArcGIS Online Essentials: Instant Apps,"Tuesday, October 8, 2024",2024-10-08,2:10pm-3:25pm,The Catalyst (Parks 199),"Discover how to quickly turn your maps into light, interactive web applications. Our hands-on sessions will walk participants through the creation, customization, and sharing of simple, interactive maps with customizable templates. No prior GIS experience required, but attendance at the Introduction to ArcGIS Online workshop is encouraged.",https://iastate.libcal.com/event/12890230,,,true,workshop
ArcGIS Online Essentials: Experience Builder,"Tuesday, November 5, 2024",2024-11-05,2:10pm-3:25pm,The Catalyst (Parks 199),"Learn to build more advanced, responsive GIS applications from scratch. We will guide you through the design, creation, and deployment of your own applications. No prior GIS experience required, but attendance at the Intro to ArcGIS Online workshop is encouraged.",https://iastate.libcal.com/event/12906126,,,true,workshop
Data Viz 101: Effective Design,"Friday, November 15, 2024",2024-11-15,12:00pm-1:00pm,Online,"Join us for a one-hour seminar focused on creating effective and appealing data visualizations. Participants will learn how design choices can make or break a data viz and how simple changes can lead to big improvements. We'll cover topics such as text and fonts, color, layout, and labels.",https://iastate.libcal.com/event/12908025,,,true,workshop
Build a Quick Website Using Google Sites,"Tuesday, November 12, 2024",2024-11-12,2:10pm-3:25pm,The Catalyst (Parks 199),"Creating a simple website can be frustrating and overwhelming, espeically if you have very little or no web design or coding experience. If you want to quickly create a website with no coding or design experience, but with the ability to collaborate with others in real time, try Google Sites and see if this might suit your needs. Google Sites is a free web-based web creation tool that will get your site up and running in very little time.",https://iastate.libcal.com/event/12907620,,,true,workshop
Data viz 101: Effective design,"Wednesday, February 12, 2025",2025-02-12,11:00am - 11:50am,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13894991,,,,workshop
Data viz glow up: Pick a chart type ,"Thursday, February 13, 2025",2025-02-13,11:00am - 12:15pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13895484,,,,workshop
Introduction to ArcGIS StoryMaps,"Tuesday, February 18, 2025",2025-02-18,2:10pm - 3:25pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13895609,,,,workshop
Unix command line fundamentals,"Wednesday, February 19, 2025",2025-02-19,1:00pm - 3:00pm,The Catalyst (Parks 199),,https://iastate.libcal.com/event/13895636,,,,workshop
Starting a digital humanities project,"Tuesday, February 25, 2025",2025-02-25,2:10pm - 3:25pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905594,,,,workshop
Git basics for absolute beginners,"Wednesday, February 26, 2025",2025-02-26,1:30pm - 3:00pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905595,,,,workshop
Teaching with Twine,"Tuesday, March 4, 2025",2025-03-04,2:10pm - 3:25pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905601,,,,workshop
Unix and Git basics follow up,"Wednesday, March 5, 2025",2025-03-05,1:30pm - 3:00pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905602,,,,workshop
